ID,Name,Description,CLTS_BIPA,CLTS_Name,Lexibank_BIPA,Prosody
0070_i,p,voiceless bilabial stop consonant,p,voiceless bilabial stop consonant,p,i
0070-2019_i,p’,aspirated voiceless bilabial stop consonant,pʰ,aspirated voiceless bilabial stop consonant,pʰ,i
006d_i,m,voiced bilabial nasal consonant,m,voiced bilabial nasal consonant,m,i
0066_i,f,voiceless labio-dental fricative consonant,f,voiceless labio-dental fricative consonant,f,i
0074_i,t,voiceless alveolar stop consonant,t,voiceless alveolar stop consonant,t,i
0074-2019_i,t’,aspirated voiceless alveolar stop consonant,tʰ,aspirated voiceless alveolar stop consonant,tʰ,i
006e_i,n,voiced alveolar nasal consonant,n,voiced alveolar nasal consonant,l,i
0074-0073_i,ts,voiceless alveolar sibilant affricate consonant,ts,voiceless alveolar sibilant affricate consonant,ts,i
0074-0073-2019_i,ts’,aspirated voiceless alveolar sibilant affricate consonant,tsʰ,aspirated voiceless alveolar sibilant affricate consonant,tsʰ,i
0073_i,s,voiceless alveolar sibilant fricative consonant,s,voiceless alveolar sibilant fricative consonant,s,i
007a_i,z,voiced alveolar sibilant fricative consonant,z,voiced alveolar sibilant fricative consonant,z,i
0074-0255_i,tɕ,voiceless alveolo-palatal sibilant affricate consonant,tɕ,voiceless alveolo-palatal sibilant affricate consonant,tɕ,i
0074-0255-2019_i,tɕ’,aspirated voiceless alveolo-palatal sibilant affricate consonant,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant,tɕʰ,i
0235_i,ȵ,voiced alveolo-palatal nasal consonant,ȵ,voiced alveolo-palatal nasal consonant,ȵ,i
0255_i,ɕ,voiceless alveolo-palatal sibilant fricative consonant,ɕ,voiceless alveolo-palatal sibilant fricative consonant,ɕ,i
006b_i,k,voiceless velar stop consonant,k,voiceless velar stop consonant,k,i
006b-2019_i,k’,aspirated voiceless velar stop consonant,kʰ,aspirated voiceless velar stop consonant,kʰ,i
014b_i,ŋ,voiced velar nasal consonant,ŋ,voiced velar nasal consonant,ŋ,i
0078_i,x,voiceless velar fricative consonant,x,voiceless velar fricative consonant,x,i
027f_n,ɿ,unrounded close with-friction back vowel,ɿ,unrounded close with-friction back vowel,ɿ,n
0061_n,a,unrounded open front vowel,a,unrounded open front vowel,a,n
006f_n,o,rounded close-mid back vowel,o,rounded close-mid back vowel,o,n
0259_n,ə,unrounded mid central vowel,ə,unrounded mid central vowel,ə,n
0061-0069_n,ai,from unrounded open front to unrounded close front diphthong,ai,from unrounded open front to unrounded close front diphthong,ai,n
0065-0069_n,ei,from unrounded close-mid front to unrounded close front diphthong,ei,from unrounded close-mid front to unrounded close front diphthong,ei,n
0061-0075_n,au,from unrounded open front to rounded close back diphthong,au,from unrounded open front to rounded close back diphthong,au,n
0259-0075_n,əu,from unrounded mid central to rounded close back diphthong,əu,from unrounded mid central to rounded close back diphthong,əu,n
006f-0303_n,õ,nasalized rounded close-mid back vowel,õ,nasalized rounded close-mid back vowel,õ,n
006e_c,n,voiced alveolar nasal consonant,n,voiced alveolar nasal consonant,n,c
