ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Context
Changsha_0070_i,Changsha,0070_i,p,,,Cihui,i
Changsha_0070-2019_i,Changsha,0070-2019_i,p’,,,Cihui,i
Changsha_006d_i,Changsha,006d_i,m,,,Cihui,i
Changsha_0066_i,Changsha,0066_i,f,,,Cihui,i
Changsha_0074_i,Changsha,0074_i,t,,,Cihui,i
Changsha_0074-2019_i,Changsha,0074-2019_i,t’,,,Cihui,i
Changsha_006e_i,Changsha,006e_i,n,,,Cihui,i
Changsha_0074-0073_i,Changsha,0074-0073_i,ts,,,Cihui,i
Changsha_0074-0073-2019_i,Changsha,0074-0073-2019_i,ts’,,,Cihui,i
Changsha_0073_i,Changsha,0073_i,s,,,Cihui,i
Changsha_007a_i,Changsha,007a_i,z,,,Cihui,i
Changsha_0074-0255_i,Changsha,0074-0255_i,tɕ,,,Cihui,i
Changsha_0074-0255-2019_i,Changsha,0074-0255-2019_i,tɕ’,,,Cihui,i
Changsha_0235_i,Changsha,0235_i,ȵ,,,Cihui,i
Changsha_0255_i,Changsha,0255_i,ɕ,,,Cihui,i
Changsha_006b_i,Changsha,006b_i,k,,,Cihui,i
Changsha_006b-2019_i,Changsha,006b-2019_i,k’,,,Cihui,i
Changsha_014b_i,Changsha,014b_i,ŋ,,,Cihui,i
Changsha_0078_i,Changsha,0078_i,x,,,Cihui,i
Changsha_027f_n,Changsha,027f_n,ɿ,,,Cihui,n
Changsha_0061_n,Changsha,0061_n,a,,,Cihui,n
Changsha_006f_n,Changsha,006f_n,o,,,Cihui,n
Changsha_0259_n,Changsha,0259_n,ə,,,Cihui,n
Changsha_0061-0069_n,Changsha,0061-0069_n,ai,,,Cihui,n
Changsha_0065-0069_n,Changsha,0065-0069_n,ei,,,Cihui,n
Changsha_0061-0075_n,Changsha,0061-0075_n,au,,,Cihui,n
Changsha_0259-0075_n,Changsha,0259-0075_n,əu,,,Cihui,n
Changsha_00f5_n,Changsha,00f5_n,õ,,,Cihui,n
Changsha_0061_n,Changsha,0061_n,a,,,Cihui,n
Changsha_006e_c,Changsha,006e_c,n,,,Cihui,c
Changsha_0264_n,Changsha,0264_n,ɤ,,,Cihui,n
Changsha_006e_c,Changsha,006e_c,n,,,Cihui,c
Changsha_0259_n,Changsha,0259_n,ə,,,Cihui,n
