ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Benzi
Beijing-48_chinesenewyearseve-1,,Beijing,48_chinesenewyearseve,ta⁵¹nian³⁵san⁵⁵ʂʅr³⁵,ta⁵¹nian³⁵san⁵⁵ʂʅr³⁵,t a ⁵¹ + n i/j a n ³⁵ + s a n ⁵⁵ + ʂ */ʅ ³⁵,,Cihui,,,,,大 年 三 十
Beijing-48_chinesenewyearseve-2,,Beijing,48_chinesenewyearseve,san⁵⁵ʂʅr³⁵uan²¹⁴₂₁ʂaŋ⁰,san⁵⁵ʂʅr³⁵uan²¹⁴₂₁ʂaŋ⁰,s a n ⁵⁵ + ʂ */ʅ ³⁵ + u/w a n ²¹/²¹⁴ + ʂ a ŋ ⁰,,Cihui,,,,,三 十 晚 上
Jinan-48_chinesenewyearseve-1,,Jinan,48_chinesenewyearseve,sæ̃²¹³ʂʅr⁴²,sæ̃²¹³ʂʅr⁴²,s æ̃ ²¹³ + ʂ */ʅ ⁴²,,Cihui,,,,,三 十
Shenyang-48_chinesenewyearseve-1,,Shenyang,48_chinesenewyearseve,san³³sɿr³⁵,san³³sɿr³⁵,s a n ³³ + s */ɿ ³⁵,,Cihui,,,,,三 十
XiAn-48_chinesenewyearseve-1,,XiAn,48_chinesenewyearseve,sæ̃²¹ʂʅr²⁴,sæ̃²¹ʂʅr²⁴,s æ̃ ²¹ + ʂ */ʅ ²⁴,,Cihui,,,,,三 十
XiAn-48_chinesenewyearseve-2,,XiAn,48_chinesenewyearseve,tɑ⁴⁵ȵiæ̃⁰sæ̃²¹ʂʅ⁰,tɑ⁴⁵ȵiæ̃⁰sæ̃²¹ʂʅ⁰,t ɑ ⁴⁵ + ȵ j æ̃ ⁰ + s æ̃ ²¹ + ʂ ʅ ⁰,,Cihui,,,,,大 年 三 十
Chengdu-48_chinesenewyearseve-1,,Chengdu,48_chinesenewyearseve,san⁴⁴uan⁵³xe³¹,san⁴⁴uan⁵³xe³¹,s a n ⁴⁴ + u/w a n ⁵³ + x e ³¹,,Cihui,,,,,三 晚 黑
Kunming-48_chinesenewyearseve-1,,Kunming,48_chinesenewyearseve,sã⁴⁴ʂʅ³¹uã⁵³ʂã¹³,sã⁴⁴ʂʅ³¹uã⁵³ʂã¹³,s ã ⁴⁴ + ʂ ʅ ³¹ + u/w ã ⁵³ + ʂ ã ¹³,,Cihui,,,,,三 十 晚 上
Hefei-48_chinesenewyearseve-1,,Hefei,48_chinesenewyearseve,niĩ⁵⁵sæ̃²¹²ʂəʔ⁴,niĩ⁵⁵sæ̃²¹²ʂəʔ⁴,n iĩ/ĩ ⁵⁵ + s æ̃ ²¹² + ʂ ə ʔ ⁴,,Cihui,,,,,年 三 十
Yangzhou-48_chinesenewyearseve-1,,Yangzhou,48_chinesenewyearseve,sɛ̃³¹səʔ⁴tsɛ⁰,sɛ̃³¹səʔ⁴tsɛ⁰,s ɛ̃ ³¹ + s ə ʔ ⁴ + ts ɛ ⁰,,Cihui,,,,,三 十 子
Yangzhou-48_chinesenewyearseve-2,,Yangzhou,48_chinesenewyearseve,tɑ⁵⁵liĩ³⁴iɪ⁵⁵,tɑ⁵⁵liĩ³⁴iɪ⁵⁵,t ɑ ⁵⁵ + l iĩ/ĩ ³⁴ + iɪ ⁵⁵,,Cihui,,,,,大 年 夜
Suzhou-48_chinesenewyearseve-1,,Suzhou,48_chinesenewyearseve,ȵiɪ²⁴₂₂sɛ⁴⁴sɤʔ²¹,ȵiɪ²⁴₂₂sɛ⁴⁴sɤʔ²¹,ȵ iɪ ²²/²⁴ + s ᴇ/ɛ ⁴⁴ + s ɤ ʔ ²¹,,Cihui,,,,,年 三 十
Suzhou-48_chinesenewyearseve-2,,Suzhou,48_chinesenewyearseve,dəu³¹₂₂ȵiɪ²⁴₃₃iɒ⁵¹³₂₁,dəu³¹₂₂ȵiɪ²⁴₃₃iɒ⁵¹³₂₁,d əu ²²/³¹ + ȵ iɪ ³³/²⁴ + i/j ɒ ²¹/⁵¹³,,Cihui,,,,,大 年 夜
Wenzhou-48_chinesenewyearseve-1,,Wenzhou,48_chinesenewyearseve,sa⁴⁴zai¹²ȵiai¹²ɦa³¹ɕy⁴⁴,sa⁴⁴zai¹²ȵiai¹²ɦa³¹ɕy⁴⁴,s a ⁴⁴ + z ai ¹² + ȵ i/j ai ¹² + ɦ a ³¹ + ɕ y ⁴⁴,,Cihui,,,,,三 十 日 黃 昏
Changsha-48_chinesenewyearseve-1,,Changsha,48_chinesenewyearseve,san³³sɿ²⁴uan⁴¹sau²¹,san³³sɿ²⁴uan⁴¹sau²¹,s a n ³³ + s ɿ ²⁴ + u/w a n ⁴¹ + s au ²¹,,Cihui,,,,,三 十 晚 上
Nanchang-48_chinesenewyearseve-1,,Nanchang,48_chinesenewyearseve,san⁴²sət⁵,san⁴²sət⁵,s a n ⁴² + s ə t ⁵,,Cihui,,,,,三 十
Meixian-48_chinesenewyearseve-1,,Meixian,48_chinesenewyearseve,ȵiɛn¹²sam⁴⁴səp⁴,ȵiɛn¹²sam⁴⁴səp⁴,ȵ i/j ɛ n ¹² + s a m ⁴⁴ + s ə p ⁴,,Cihui,,,,,年 三 十
Guangzhou-48_chinesenewyearseve-1,,Guangzhou,48_chinesenewyearseve,kɐu³⁵jyt²²kɐu³⁵nin¹²ʃa⁵³a²²man²³,kɐu³⁵jyt²²kɐu³⁵nin¹²ʃa⁵³a²²man²³,n i n ²² + ʃ a ⁵³ + a ²² + m a n ²³,,Cihui,,,,,年 三 十 晚
Yangjiang-48_chinesenewyearseve-1,,Yangjiang,48_chinesenewyearseve,nin⁴⁴³man²¹,nin⁴⁴³man²¹,n i n ⁴⁴³ + m a n ²¹,,Cihui,,,,,年 晚
Xiamen-48_chinesenewyearseve-1,,Xiamen,48_chinesenewyearseve,li³³liau⁵¹₅₅mĩ²⁴,li³³liau⁵¹₅₅mĩ²⁴,l i ³³ + l i/j au ⁵⁵/⁵¹ + m ĩ ²⁴,,Cihui,,,,,二 九 暝
Chaozhou-48_chinesenewyearseve-1,,Chaozhou,48_chinesenewyearseve,sã³³₂₃tsap⁴₂₁me⁵⁵,sã³³₂₃tsap⁴₂₁me⁵⁵,s ã ²³/³³ + ts a p ²¹/⁴ + m e ⁵⁵,,Cihui,,,,,三 十 夜
Fuzhou-48_chinesenewyearseve-1,,Fuzhou,48_chinesenewyearseve,saŋ⁴⁴neiʔ⁴maŋ⁵²₄₄muɔ⁴⁴,saŋ⁴⁴neiʔ⁴maŋ⁵²₄₄muɔ⁴⁴,s a ŋ ⁴⁴ + n ei ʔ ⁴ + m a ŋ ⁴⁴/⁵² + m u/w ɔ ⁴⁴,,Cihui,,,,,三 十 曫 晡
Beijing-806_ifirstpersonsingular-1,,Beijing,806_ifirstpersonsingular,uo²¹⁴,uo²¹⁴,u/w o ²¹⁴,,Cihui,,,,,我
Jinan-806_ifirstpersonsingular-1,,Jinan,806_ifirstpersonsingular,uə⁵⁵,uə⁵⁵,u/w ə ⁵⁵,,Cihui,,,,,我
Jinan-806_ifirstpersonsingular-2,,Jinan,806_ifirstpersonsingular,ŋæ̃⁵⁵,ŋæ̃⁵⁵,ŋ æ̃ ⁵⁵,,Cihui,,,,,俺
Shenyang-806_ifirstpersonsingular-1,,Shenyang,806_ifirstpersonsingular,uə²¹³，ə²¹³,uə²¹³，ə²¹³,u/w ə ²¹³,,Cihui,,,,,我
XiAn-806_ifirstpersonsingular-1,,XiAn,806_ifirstpersonsingular,ŋə⁵³,ŋə⁵³,ŋ ə ⁵³,,Cihui,,,,,我
Chengdu-806_ifirstpersonsingular-1,,Chengdu,806_ifirstpersonsingular,ŋo⁵³,ŋo⁵³,ŋ o ⁵³,,Cihui,,,,,我
Kunming-806_ifirstpersonsingular-1,,Kunming,806_ifirstpersonsingular,uo⁵³,uo⁵³,u/w o ⁵³,,Cihui,,,,,我
Hefei-806_ifirstpersonsingular-1,,Hefei,806_ifirstpersonsingular,ʊ²⁴，ʊ²¹²,ʊ²⁴，ʊ²¹²,ʊ ²⁴,,Cihui,,,,,我
Yangzhou-806_ifirstpersonsingular-1,,Yangzhou,806_ifirstpersonsingular,o⁴²,o⁴²,o ⁴²,,Cihui,,,,,我
Suzhou-806_ifirstpersonsingular-1,,Suzhou,806_ifirstpersonsingular,ŋəu³¹,ŋəu³¹,ŋ əu ³¹,,Cihui,,,,,我
Suzhou-806_ifirstpersonsingular-2,,Suzhou,806_ifirstpersonsingular,nəu³¹,nəu³¹,n əu ³¹,,Cihui,,,,,奴
Wenzhou-806_ifirstpersonsingular-1,,Wenzhou,806_ifirstpersonsingular,ῃ²⁴,ῃ²⁴,ŋ̍ ²⁴,,Cihui,,,,,我
Changsha-806_ifirstpersonsingular-1,,Changsha,806_ifirstpersonsingular,ŋo⁴¹,ŋo⁴¹,ŋ o ⁴¹,,Cihui,,,,,我
Nanchang-806_ifirstpersonsingular-1,,Nanchang,806_ifirstpersonsingular,ŋɔ²¹³,ŋɔ²¹³,ŋ ɔ ²¹³,,Cihui,,,,,我
Meixian-806_ifirstpersonsingular-1,,Meixian,806_ifirstpersonsingular,@ŋai¹²,@ŋai¹²,ŋ ai ¹²,,Cihui,,,,,囗
Guangzhou-806_ifirstpersonsingular-1,,Guangzhou,806_ifirstpersonsingular,ŋɔ²³,ŋɔ²³,ŋ ɔ ²³,,Cihui,,,,,我
Yangjiang-806_ifirstpersonsingular-1,,Yangjiang,806_ifirstpersonsingular,ŋɔ²¹,ŋɔ²¹,ŋ ɔ ²¹,,Cihui,,,,,我
Xiamen-806_ifirstpersonsingular-1,,Xiamen,806_ifirstpersonsingular,gua⁵¹,gua⁵¹,g u/w a ⁵¹,,Cihui,,,,,我
Chaozhou-806_ifirstpersonsingular-1,,Chaozhou,806_ifirstpersonsingular,ua⁵³,ua⁵³,u/w a ⁵³,,Cihui,,,,,我
Fuzhou-806_ifirstpersonsingular-1,,Fuzhou,806_ifirstpersonsingular,ŋuai³¹,ŋuai³¹,ŋ u/w ai ³¹,,Cihui,,,,,我
Beijing-223_jiaaocostume-1,,Beijing,223_jiaaocostume,ɕia³⁵au²¹⁴,ɕia³⁵au²¹⁴,ɕ i/j a ³⁵ + au ²¹⁴,,Cihui,,,,,裌 襖
Jinan-223_jiaaocostume-1,,Jinan,223_jiaaocostume,tɕia⁵⁵ŋɔ⁵⁵,tɕia⁵⁵ŋɔ⁵⁵,tɕ i/j a ⁵⁵ + ŋ ɔ ⁵⁵,,Cihui,,,,,裌 祆
Shenyang-223_jiaaocostume-1,,Shenyang,223_jiaaocostume,tɕia³⁵au²¹³,tɕia³⁵au²¹³,tɕ i/j a ³⁵ + au ²¹³,,Cihui,,,,,裌 襖
