LEXEME	REPLACEMENT	NOTE
VU²⁴	vu²⁴	
w²⁴	ɯ²⁴	
sɑŋ⁵⁵toŋBB	sɑŋ⁵⁵toŋ³³	
koġ⁴⁴tɕi&quot;	koġ⁴⁴tɕi¹¹
ma³³&quot;laŋ⁰	ma³³laŋ⁰
tɕʰy⁵⁵tɕʰy⁵⁵，tɕʰy²¹³tɕʰy²¹³	tɕʰy⁵⁵tɕʰy⁵⁵
ŋa⁴⁴³⑷tʃʰat²¹	ŋa⁴⁴³tʃʰat²¹
tʂʰəu⁴⁴-tʰi⁴⁴	tʂʰəu⁴⁴tʰi⁴⁴
Kiau³¹tsɿ⁰	kiau³¹tsɿ⁰
