Grapheme	IPA
$	NULL
u*/ai	u/w */ai
y*/a	y/ɥ */a
u*/ẽ	u/w ẽ
ɪĩ	ɪ/j ĩ
i*/a	i/j */a
i*/ẽ	i/j */ẽ
iuai	iu/ɥ ai
u*/ã	u/w */ã
u*/ɛ	u/w */ɛ
uø	u/w ø
i*/ɛ	i/j */ɛ
*/a	*/a
*/ai	*/ai
*/au	*/au
*/e	*/e
*/ei	*/ei
*/i	*/i
*/o	*/o
*/u	*/u
*/y	*/y
*/ã	*/ã
*/æ̃	*/æ̃
*/ĩ	*/ĩ
*/ɑ	*/ɑ
*/ɔ	*/ɔ
*/ə	*/ə
*/ə̃	*/ə̃
*/ɛ	*/ɛ
*/ɿ	*/ɿ
*/ʅ	*/ʅ
*/ẽ	*/ẽ
+	+
^	NULL
^dz	dz
^pf	pf
^pfʰ	pfʰ
^taĩã∼⁵⁵	t aĩã/ai ⁵⁵
^tʰh	tʰ
_	NULL
a	a
ae	ae
ai	ai
aiu	aiu/ai
aiã	aiã/ai
au	au
auə	auə/au
ay	ay
aæ̃	æ̃
aĩ	ai
aũ	au
aɔ	aɔ
aə	aə
b	b
d	d
dz	dz
dʑ	dʑ
e	e
ei	ei
eu	eu
ey	ey
eĩ	ei
eũ	eu
eɿ	eɿ
f	f
g	g
h	h
i	i
i$	i
i*/au	y/ɥ */au
i*/e	y/ɥ */e
i*/o	y/ɥ */o
i*/ɔ	y/ɥ */ɔ
i*/ə	y/ɥ */ə
ia	i/j a
iai	i/j ai
iau	i/j au
iay	i/j ay
iaĩ	i/j ai
iaũ	i/j au
ie	i/j e
iei	i/j ei
ieu	i/j eu
iey	i/j ey
ieĩ	i/j ei
ieũ	i/j eu
ii	i/j i
iii	i/j i
iiu	i/j iu
iiy	i/j iy
iiĩ	i/j i
iiũ	i/j iu
io	i/j o
io*/u	i/j */ou
ioi	i/j oi
iou	i/j ou
ioy	i/j oy
ioĩ	i/j oi
ioũ	i/j ou
iu	i/j u
iui	i/j ui
iuu	i/j uu
iuy	i/j uy
iuĩ	i/j ui
iuũ	i/j uu
iy	i/j y
iã	i/j ã
iãi	i/j ãi
iãu	i/j ãu
iãy	i/j ãy
iãĩ	i/j ãi
iãũ	i/j ãu
iæ	i/j æ
iæ̃	j æ̃
iø	i/j ø
iĩ	iĩ/ĩ
iœ	i/j œ
iœi	i/j œi
iœu	i/j œu
iœy	i/j œy
iœĩ	i/j œi
iœũ	i/j œu
iũ	i/j ũ
iũi	i/j ũi
iũu	i/j ũu
iũy	i/j ũy
iũĩ	i/j ũi
iũũ	i/j ũu
iɐ	i/j ɐ
iɐi	i/j ɐi
iɐu	i/j ɐu
iɐy	i/j ɐy
iɐĩ	i/j ɐi
iɐũ	i/j ɐu
iɑ	i/j ɑ
iɑ*/u	i/j */ɑu
iɑi	i/j ɑi
iɑo	i/j ɑo
iɑu	i/j ɑu
iɑy	i/j ɑy
iɑĩ	i/j ɑi
iɑŋʔ	i/j ɑ ŋʔ/ŋ
iɑũ	i/j ɑu
iɑ̃	i/j ɑ̃
iɑ̃i	i/j ɑ̃i
iɑ̃u	i/j ɑ̃u
iɑ̃y	i/j ɑ̃y
iɑ̃ĩ	i/j ɑ̃i
iɑ̃ũ	i/j ɑ̃u
iɒ	i/j ɒ
iɒi	i/j ɒi
iɒu	i/j ɒu
iɒy	i/j ɒy
iɒĩ	i/j ɒi
iɒũ	i/j ɒu
iɔ	i/j ɔ
iɔi	i/j ɔi
iɔu	i/j ɔu
iɔy	i/j ɔy
iɔĩ	i/j ɔi
iɔũ	i/j ɔu
iɔ̃	i/j ɔ̃
iɔ̃i	i/j ɔ̃i
iɔ̃u	i/j ɔ̃u
iɔ̃y	i/j ɔ̃y
iɔ̃ĩ	i/j ɔ̃i
iɔ̃ũ	i/j ɔ̃u
iə	i/j ə
iəi	i/j əi
iəu	i/j əu
iəy	i/j əy
iəĩ	i/j əi
iəũ	i/j əu
iə̃	i/j ə̃
iə̃i	i/j ə̃i
iə̃u	i/j ə̃u
iə̃y	i/j ə̃y
iə̃ĩ	i/j ə̃i
iə̃ũ	i/j ə̃u
iɛ	i/j ɛ
iɛa	i/j ɛa
iɛi	i/j ɛi
iɛu	i/j ɛu
iɛy	i/j ɛy
iɛĩ	i/j ɛi
iɛũ	i/j ɛu
iɛ̃	i/j ɛ̃
iɛ̃i	i/j ɛ̃i
iɛ̃u	i/j ɛ̃u
iɛ̃y	i/j ɛ̃y
iɛ̃ĩ	i/j ɛ̃i
iɛ̃ũ	i/j ɛ̃u
iɜ	i/j ɜ
iɜi	i/j ɜi
iɜu	i/j ɜu
iɜy	i/j ɜy
iɜĩ	i/j ɜi
iɜũ	i/j ɜu
iɤ	i/j ɤ
iɤi	i/j ɤi
iɤu	i/j ɤu
iɤy	i/j ɤy
aɤ	aɤ
i*/æ̃	i/j */æ̃
y*/æ̃	y/ɥ */æ̃
u*/ɑ	u/w */ɑ
u*ã	u/w */ã
iɤĩ	i/j ɤi
iɤũ	i/j ɤu
iɤɯ	i/j ɤɯ
iɪ	iɪ
iɯ	i/j ɯ
iʊ	i/j ʊ
iʊi	i/j ʊi
iʊu	i/j ʊu
iʊy	i/j ʊy
iʊĩ	i/j ʊi
iʊũ	i/j ʊu
iʊ̃	i/j ʊ̃
iʊ̃i	i/j ʊ̃i
iʊ̃u	i/j ʊ̃u
iʊ̃y	i/j ʊ̃y
iʊ̃ĩ	i/j ʊ̃i
iʊ̃ũ	i/j ʊ̃u
iʏ	i/j ʏ
iʏi	i/j ʏi
iʏu	i/j ʏu
iʏy	i/j ʏy
iʏĩ	i/j ʏi
iʏũ	i/j ʏu
iᴇ	y/ɥ ᴇ/ɛ
iẽ	i/j ẽ
iẽi	i/j ẽi
iẽu	i/j ẽu
iẽy	i/j ẽy
iẽĩ	i/j ẽi
iẽũ	i/j ẽu
j	i/j
j ɑo	i/j ɑo
j ɑŋ	i/j ɑŋ
j ɤɯ	i/j ɤɯ
jɤɯ	i/j ɤɯ
k	k
kʰ	kʰ
l	l
m	m
m̩	m̩
n	n
n$	n
n̩	n̩
o	o
o*/u	*/ou
oe	oe
oi	oi
onʔ	o nʔ/n
ou	ou
oy	oy
oĩ	oi
oũ	ou
õi	õi
õũ	õu
p	p
pf	pf
pfʰ	pfʰ
pʰ	pʰ
r/o	r/o
s	s
t	t
ts	ts
tsʰ	tsʰ
tɕ	tɕ
tɕʰ	tɕʰ
tʂʰ	ʈʂʰ
tʃ	tʃ
tʃʰ	tʃʰ
tʰ	tʰ
tʰh	tʰ
