Language_ID	Value	Lexibank	Prosody	NOTE
Changsha	p	p	i	
Changsha	p’	pʰ	i	
Changsha	m	m	i	
Changsha	f	f	i	
Changsha	t	t	i	
Changsha	t’	tʰ	i	
Changsha	n	l	i	
Changsha	ts	ts	i	
Changsha	ts’	tsʰ	i	
Changsha	s	s	i	
Changsha	z	z	i	
Changsha	tɕ	tɕ	i	
Changsha	tɕ’	tɕʰ	i	
Changsha	ȵ	ȵ	i	
Changsha	ɕ	ɕ	i	
Changsha	k	k	i	
Changsha	k’	kʰ	i	
Changsha	ŋ	ŋ	i	
Changsha	x	x	i	
Changsha	Ø	NULL	i	
Changsha	ɿ	ɿ	n	
Changsha	a	a	n	
Changsha	o	o	n	
Changsha	ə	ə	n	
Changsha	ai	ai	n	
Changsha	ei	ei	n	
Changsha	au	au	n	
Changsha	əu	əu	n	
Changsha	õ	õ	n	
Changsha	a n	a n	n c	
Changsha	ɤ n	ɤ n	n c	
Changsha	ə n	ə n	n c	
Changsha	i	i	n	
Changsha	i a	i/j a	m n	
Changsha	i o	i/j o	m n	
Changsha	i e	i/j e	m n	
Changsha	i au	i/j au	m n	
Changsha	i əu	i/j əu	m n	
Changsha	ĩ	ĩ	n	
Changsha	i a n	i/j a n	m n c	
Changsha	i n	i n	n c	
Changsha	u	u	n	
Changsha	u a	u/w a	m n	
Changsha	u ə	u/w ə	m n	
Changsha	u ai	u/w ai	m n	
Changsha	u ei	u/w ei	m n	
Changsha	u a n	u/w a n	m n c	
Changsha	u ə n	u/w ə n	m n c	
Changsha	y	y	n	
Changsha	y a	y/ɥ a	m n	
Changsha	y e	y/ɥ e	m n	
Changsha	y ai	y/ɥ ai	m n	
Changsha	y ei	y/ɥ ei	m n	
Changsha	y ẽ	y/ɥ ẽ	m n	
Changsha	y a n	y/ɥ a n	m n c	
Changsha	y n	y n	n c	
Changsha	n̩	n̩	n	
Changsha	³³	³³	t/ip	
Changsha	¹³	¹³	t/ap	
Changsha	⁴¹	⁴¹	t/s	
Changsha	⁵⁵	⁵⁵	t/iq	
Changsha	²¹	²¹	t/aq	
Changsha	²⁴	²⁴	t/r	
Changsha	⁰	⁰	t	
Hefei	p	p	i	
Hefei	p’	pʰ	i	
Hefei	m	m	i	
Hefei	f	f	i	
Hefei	t	t	i	
Hefei	t’	tʰ	i	
Hefei	l	n	i	
Hefei	(listed as allophone)	l	i	
Hefei	ts	ts	i	
Hefei	ts’	tsʰ	i	
Hefei	s	s	i	
Hefei	z	z	i	
Hefei	tʂ	ʈʂ	i	
Hefei	tʂ’	ʈʂʰ	i	
Hefei	ʂ	ʂ	i	
Hefei	ʐ	ʐ	i	
Hefei	tɕ	tɕ	i	
Hefei	tɕ’	tɕʰ	i	
Hefei	ɕ	ɕ	i	
Hefei	k	k	i	
Hefei	k’	kʰ	i	
Hefei	x	x	i	
Hefei	Ø	NULL	i	
Hefei	ɿ	ɿ	n	
Hefei	ʅ	ʅ	n	
Hefei	a	a	n	
Hefei	ɔ	ɔ	n	
Hefei	ᴇ	e̞	n	
